1974-09-16,昭和49年,振替休日
1974-09-23,昭和49年,秋分の日
1974-10-10,昭和49年,体育の日
1974-11-03,昭和49年,文化の日
1974-11-04,昭和49年,振替休日
1974-11-23,昭和49年,勤労感謝の日
1975-01-01,昭和50年,元日
1975-01-15,昭和50年,成人の日
1975-02-11,昭和50年,建国記念の日
1975-03-21,昭和50年,春分の日
1975-04-29,昭和50年,天皇誕生日
1975-05-03,昭和50年,憲法記念日
1975-05-05,昭和50年,こどもの日
1975-09-15,昭和50年,敬老の日
1975-09-24,昭和50年,秋分の日
1975-10-10,昭和50年,体育の日
1975-11-03,昭和50年,文化の日
1975-11-23,昭和50年,勤労感謝の日
1975-11-24,昭和50年,振替休日
1976-01-01,昭和51年,元日
1976-01-15,昭和51年,成人の日
1976-02-11,昭和51年,建国記念の日
1976-03-20,昭和51年,春分の日
1976-04-29,昭和51年,天皇誕生日
1976-05-03,昭和51年,憲法記念日
1976-05-05,昭和51年,こどもの日
1976-09-15,昭和51年,敬老の日
1976-09-23,昭和51年,秋分の日
1976-10-10,昭和51年,体育の日
1976-10-11,昭和51年,振替休日
1976-11-03,昭和51年,文化の日
1976-11-23,昭和51年,勤労感謝の日
1977-01-01,昭和52年,元日
1977-01-15,昭和52年,成人の日
1977-02-11,昭和52年,建国記念の日
1977-03-21,昭和52年,春分の日
1977-04-29,昭和52年,天皇誕生日
1977-05-03,昭和52年,憲法記念日
1977-05-05,昭和52年,こどもの日
1977-09-15,昭和52年,敬老の日
1977-09-23,昭和52年,秋分の日
1977-10-10,昭和52年,体育の日
1977-11-03,昭和52年,文化の日
1977-11-23,昭和52年,勤労感謝の日
1978-01-01,昭和53年,元日
1978-01-02,昭和53年,振替休日
1978-01-15,昭和53年,成人の日
1978-01-16,昭和53年,振替休日
1978-02-11,昭和53年,建国記念の日
1978-03-21,昭和53年,春分の日
1978-04-29,昭和53年,天皇誕生日
1978-05-03,昭和53年,憲法記念日
1978-05-05,昭和53年,こどもの日
1978-09-15,昭和53年,敬老の日
1978-09-23,昭和53年,秋分の日
1978-10-10,昭和53年,体育の日
1978-11-03,昭和53年,文化の日
1978-11-23,昭和53年,勤労感謝の日
1979-01-01,昭和54年,元日
1979-01-15,昭和54年,成人の日
1979-02-11,昭和54年,建国記念の日
1979-02-12,昭和54年,振替休日
1979-03-21,昭和54年,春分の日
1979-04-29,昭和54年,天皇誕生日
1979-04-30,昭和54年,振替休日
1979-05-03,昭和54年,憲法記念日
1979-05-05,昭和54年,こどもの日
1979-09-15,昭和54年,敬老の日
1979-09-24,昭和54年,秋分の日
1979-10-10,昭和54年,体育の日
1979-11-03,昭和54年,文化の日
1979-11-23,昭和54年,勤労感謝の日
1980-01-01,昭和55年,元日
1980-01-15,昭和55年,成人の日
1980-02-11,昭和55年,建国記念の日
1980-03-20,昭和55年,春分の日
1980-04-29,昭和55年,天皇誕生日
1980-05-03,昭和55年,憲法記念日
1980-05-05,昭和55年,こどもの日
1980-09-15,昭和55年,敬老の日
1980-09-23,昭和55年,秋分の日
